# BLASTN 2.7.1+
# Query: MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
# Database: db/coronavirus_20200426
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 500 hits found
MN908947.3	MN908947.3	100.000	29903	0	0	1	29903	1	29903	0.0	55221
MN908947.3	NC_045512.2	100.000	29903	0	0	1	29903	1	29903	0.0	55221
MN908947.3	MT121215.1	99.993	29903	2	0	1	29903	1	29903	0.0	55210
MN908947.3	MT019531.1	99.997	29899	1	0	1	29899	1	29899	0.0	55208
MN908947.3	LC529905.1	99.990	29903	3	0	1	29903	1	29903	0.0	55204
MN908947.3	MT334529.1	99.987	29903	4	0	1	29903	1	29903	0.0	55201
MN908947.3	MN996528.1	100.000	29891	0	0	1	29891	1	29891	0.0	55199
MN908947.3	MT135041.1	99.987	29903	4	0	1	29903	1	29903	0.0	55199
MN908947.3	MT135042.1	99.987	29903	4	0	1	29903	1	29903	0.0	55199
MN908947.3	MT135044.1	99.987	29903	4	0	1	29903	1	29903	0.0	55199
MN908947.3	MT108784.1	100.000	29891	0	0	1	29891	1	29891	0.0	55199
MN908947.3	MT019529.1	99.990	29899	3	0	1	29899	1	29899	0.0	55197
MN908947.3	MT019532.1	100.000	29890	0	0	1	29890	1	29890	0.0	55197
MN908947.3	MT049951.1	99.983	29903	5	0	1	29903	1	29903	0.0	55193
MN908947.3	MT135043.1	99.983	29903	5	0	1	29903	1	29903	0.0	55193
MN908947.3	MT192772.1	99.997	29891	1	0	1	29891	1	29891	0.0	55193
MN908947.3	MT114413.1	99.997	29891	1	0	1	29891	1	29891	0.0	55193
MN908947.3	MT114412.1	99.997	29889	1	0	3	29891	1	29889	0.0	55190
MN908947.3	MT163719.1	99.980	29903	6	0	1	29903	1	29903	0.0	55188
MN908947.3	MT281577.1	99.980	29903	6	0	1	29903	1	29903	0.0	55188
MN908947.3	MT324062.1	99.980	29903	6	0	1	29903	1	29903	0.0	55188
MN908947.3	MT339041.1	99.980	29903	6	0	1	29903	1	29903	0.0	55188
MN908947.3	MT350282.1	99.980	29903	6	0	1	29903	1	29903	0.0	55188
MN908947.3	MT114418.1	99.993	29891	2	0	1	29891	1	29891	0.0	55188
MN908947.3	MT246480.1	99.980	29902	6	0	2	29903	1	29902	0.0	55186
MN908947.3	MT334533.1	99.980	29901	6	0	3	29903	2	29902	0.0	55184
MN908947.3	MT159710.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT159711.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT159713.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT159714.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT159719.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT159721.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT184907.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT184909.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT304482.1	100.000	29882	0	0	1	29882	1	29882	0.0	55182
MN908947.3	MT322401.1	99.980	29900	6	0	4	29903	1	29900	0.0	55182
MN908947.3	MT334542.1	99.977	29903	7	0	1	29903	1	29903	0.0	55182
MN908947.3	MT114417.1	99.990	29891	3	0	1	29891	1	29891	0.0	55182
MN908947.3	MN988668.1	100.000	29881	0	0	2	29882	1	29881	0.0	55180
MN908947.3	MN988669.1	100.000	29881	0	0	2	29882	1	29881	0.0	55180
